timeSeconds,utc,satelliteLongitudeDeg,satelliteLatitudeDeg,satelliteAltitudeM,satelliteEcefXM,satelliteEcefYM,satelliteEcefZM,beamCenterLongitudeDeg,beamCenterLatitudeDeg,beamCenterAltitudeM,coverageAreaM2,coverageVertexCount
1791.684319528756,2026-07-15T00:29:51.684Z,-177.9501957117363,50.502729899722084,662693.516950856,-4483499.050787237,-160469.3850965798,5409916.406822353,-178.2400675226808,50.03463887211315,0,6090842148.584207,96
1807.9723587971994,2026-07-15T00:30:07.972Z,-176.62365899983098,50.05592844128022,662529.3495868882,-4520606.327503321,-266700.27790271724,5374727.814901194,-176.32922137769202,50.53549306309609,0,6092939279.368648,96
1824.2603980656424,2026-07-15T00:30:24.260Z,-175.32319200554724,49.592685506742086,662358.6795908427,-4556595.10966704,-372763.50147402193,5337902.028821458,-174.71131438316436,50.52160421639518,-9.313225746154785e-10,6247694030.213061,96
1840.5484373340855,2026-07-15T00:30:40.548Z,-174.04877829686535,49.11356737565969,662181.7135491129,-4591454.054029464,-478629.5414097989,5299450.266074327,-174.07009557198197,49.10029978385207,9.313225746154785e-10,6030237586.715919,96
1856.8364766025288,2026-07-15T00:30:56.836Z,-172.80031814264387,48.6191333655148,661998.6657149801,-4625172.085601265,-584269.0230383591,5259384.23943922,-173.46859979537115,47.673909514703276,0,6251358168.085101,96
1873.124515870972,2026-07-15T00:31:13.124Z,-171.57763768976764,48.109934175006906,661809.7577541461,-4657738.411186634,-689652.6126301186,5217716.153415982,-171.8577969416799,47.74210182315346,1.862645149230957e-9,6057773430.325218,96
1889.4125551394154,2026-07-15T00:31:29.412Z,-170.3804953040614,47.58651046175699,661615.2184812082,-4689142.510454733,-794751.1334751293,5174458.700507261,-169.98048246098648,48.12836542975998,-9.313225746154785e-10,6097274583.550192,96
1905.7005944078587,2026-07-15T00:31:45.700Z,-169.20859018202418,47.04939164185739,661415.283587384,-4719374.151649235,-899535.4792880099,5129625.057352258,-168.58233158287288,47.85991183325871,-9.313225746154785e-10,6192328473.195525,96
1921.9886336763018,2026-07-15T00:32:01.988Z,-168.0615689750648,46.499094896904374,661210.1953598,-4748423.390791695,-1003976.6624960136,5083228.880712993,-168.14796289322942,46.40861833662329,9.313225746154785e-10,6014691120.576628,96
1938.276672944745,2026-07-15T00:32:18.276Z,-166.93903203887555,45.93612437297042,661000.2023926182,-4776280.565172259,-1108045.8647200544,5035284.303314319,-167.74423337573796,44.9488798545892,-9.313225746154785e-10,6274956805.271092,96
1954.5647122131882,2026-07-15T00:32:34.564Z,-165.84054096528052,45.360970555325146,660785.5592903718,-4802936.316953466,-1211714.347126669,4985805.929538961,-166.0834871189533,45.08697997849747,0,6025653322.332594,96
1970.8527514816317,2026-07-15T00:32:50.852Z,-164.7656231576765,44.7741098025108,660566.5263637891,-4828381.5715392735,-1314953.5703141117,4934808.830978879,-164.2645547734678,45.37120053323227,-9.313225746154785e-10,6102425791.72447,96
1987.140790750075,2026-07-15T00:33:07.140Z,-163.71377865287178,44.17600402354403,660343.3693184862,-4852607.567859335,-1417735.0899788598,4882308.541844314,-163.11099570839613,44.87533576551465,9.313225746154785e-10,6138571105.0529375,96
